,Cluster,SITE,STATION,PREFIX,PAIRED,CHANNEL,TYPE,UTM_ZONE,EASTING,NORTHING,Ellipsoidal_Ht,Ortho_Ht,NOTES,point_folder_name
100,3,15,1,SBT-03-15-01,SBT-03-15-06,0,ARU,12,451951.6,6097023.4,594.4,,From datasheet (451961.6 -> 451951.6),SBT-3-15-1
101,3,15,2,SBT-03-15-02,SBT-03-15-07,0,ARU,12,451984.7398,6097016.958,598.4471,621.6341,,SBT-3-15-2
102,3,15,3,SBT-03-15-03,SBT-03-15-08,0,ARU,12,452020.5013,6097015.663,603.907,627.094,,SBT-3-15-3
103,3,15,4,SBT-03-15-04,SBT-03-15-09,0,ARU,12,452059.9531,6097017.128,601.1261,624.3131,,SBT-3-15-4
104,3,15,5,SBT-03-15-05,SBT-03-15-10,0,ARU,12,452090.0297,6097010.736,598.5023,621.6893,,SBT-3-15-5
105,3,15,6,SBT-03-15-06,SBT-03-15-01,1,EXTMIC,12,451948.425,6096984.634,597.6275,620.8145,,SBT-3-15-6
106,3,15,7,SBT-03-15-07,SBT-03-15-02,1,EXTMIC,12,451986.1061,6096982.998,602.613,625.8,,SBT-3-15-7
107,3,15,8,SBT-03-15-08,SBT-03-15-03,1,EXTMIC,12,452021.2105,6096985.497,608.2588,631.4458,,SBT-3-15-8
108,3,15,9,SBT-03-15-09,SBT-03-15-04,1,EXTMIC,12,452058.0739,6096988.097,605.4948,628.6818,,SBT-3-15-9
109,3,15,10,SBT-03-15-10,SBT-03-15-05,1,EXTMIC,12,452085.1892,6096982.494,597.64,620.827,,SBT-3-15-10
110,3,15,11,SBT-03-15-11,SBT-03-15-16,0,ARU,12,451955.3088,6096958.138,606.7159,629.9029,,SBT-3-15-11
111,3,15,12,SBT-03-15-12,SBT-03-15-17,0,ARU,12,451989.4918,6096949.753,606.6726,629.8596,,SBT-3-15-12
112,3,15,13,SBT-03-15-13,SBT-03-15-18,0,ARU,12,452016.2986,6096948.995,608.294,631.481,,SBT-3-15-13
113,3,15,14,SBT-03-15-14,SBT-03-15-19,0,ARU,12,452057.7385,6096946.531,612.1332,635.3202,,SBT-3-15-14
114,3,15,15,SBT-03-15-15,SBT-03-15-20,0,ARU,12,452091.4295,6096948.345,598.8556,622.0426,,SBT-3-15-15
115,3,15,16,SBT-03-15-16,SBT-03-15-11,1,EXTMIC,12,451958.6675,6096918.481,605.4644,628.6514,,SBT-3-15-16
116,3,15,17,SBT-03-15-17,SBT-03-15-12,1,EXTMIC,12,451985.6815,6096910.646,606.558,629.745,,SBT-3-15-17
117,3,15,18,SBT-03-15-18,SBT-03-15-13,1,EXTMIC,12,452020.9234,6096916.123,607.8941,631.0811,,SBT-3-15-18
118,3,15,19,SBT-03-15-19,SBT-03-15-14,1,EXTMIC,12,452058.8259,6096920.166,606.9042,630.0912,,SBT-3-15-19
119,3,15,20,SBT-03-15-20,SBT-03-15-15,1,EXTMIC,12,452087.6813,6096918.038,599.2706,622.4576,,SBT-3-15-20
120,3,15,21,SBT-03-15-21,SBT-03-15-26,0,ARU,12,451957.8706,6096884.949,596.8763,620.0633,,SBT-3-15-21
121,3,15,22,SBT-03-15-22,SBT-03-15-27,0,ARU,12,451987.8789,6096879.674,602.9989,626.1859,,SBT-3-15-22
122,3,15,23,SBT-03-15-23,SBT-03-15-28,0,ARU,12,452027.1407,6096883.333,606.6883,629.8753,,SBT-3-15-23
123,3,15,24,SBT-03-15-24,SBT-03-15-29,0,ARU,12,452054.0327,6096873.521,604.4042,627.5912,,SBT-3-15-24
124,3,15,25,SBT-03-15-25,SBT-03-15-30,0,ARU,12,452093.618,6096878.016,597.2418,620.4288,,SBT-3-15-25
125,3,15,26,SBT-03-15-26,SBT-03-15-21,1,EXTMIC,12,451953.8589,6096848.241,594.03,617.2165,calculated 3D shift manually,SBT-3-15-26
126,3,15,27,SBT-03-15-27,SBT-03-15-22,1,EXTMIC,12,451991.883,6096846.069,601.639,624.8262,calculated 3D shift manually,SBT-3-15-27
127,3,15,28,SBT-03-15-28,SBT-03-15-23,1,EXTMIC,12,452021.7748,6096843.108,604.607,627.7938,calculated 3D shift manually,SBT-3-15-28
128,3,15,29,SBT-03-15-29,SBT-03-15-24,1,EXTMIC,12,452060.1428,6096843.525,600.914,624.1011,calculated 3D shift manually,SBT-3-15-29
129,3,15,30,SBT-03-15-30,SBT-03-15-25,1,EXTMIC,12,452095.5076,6096842.345,595.933,619.1197,calculated 3D shift manually,SBT-3-15-30
130,3,15,31,SBT-03-15-31,SBT-03-15-36,0,ARU,12,451960.1405,6096805.111,591.699,614.8858,calculated 3D shift manually,SBT-3-15-31
131,3,15,32,SBT-03-15-32,SBT-03-15-37,0,ARU,12,451984.4978,6096811.143,596.903,620.0904,calculated 3D shift manually,SBT-3-15-32
132,3,15,33,SBT-03-15-33,SBT-03-15-38,0,ARU,12,452022.4699,6096817.094,603.263,626.4497,calculated 3D shift manually,SBT-3-15-33
133,3,15,34,SBT-03-15-34,SBT-03-15-39,0,ARU,12,452058.1935,6096812.604,599.738,622.9245,calculated 3D shift manually,SBT-3-15-34
134,3,15,35,SBT-03-15-35,SBT-03-15-40,0,ARU,12,452092.1706,6096816.925,595.956,619.1433,calculated 3D shift manually,SBT-3-15-35
135,3,15,36,SBT-03-15-36,SBT-03-15-31,1,EXTMIC,12,451956.7092,6096774.285,590.816,614.0028,calculated 3D shift manually,SBT-3-15-36
136,3,15,37,SBT-03-15-37,SBT-03-15-32,1,EXTMIC,12,451991.4422,6096768.627,592.891,616.0777,calculated 3D shift manually,SBT-3-15-37
137,3,15,38,SBT-03-15-38,SBT-03-15-33,1,EXTMIC,12,452024.1006,6096776.348,600.396,623.5827,calculated 3D shift manually,SBT-3-15-38
138,3,15,39,SBT-03-15-39,SBT-03-15-34,1,EXTMIC,12,452066.8058,6096769.096,598.782,621.9686,calculated 3D shift manually,SBT-3-15-39
139,3,15,40,SBT-03-15-40,SBT-03-15-35,1,EXTMIC,12,452094.3109,6096780.972,595.538,618.7245,calculated 3D shift manually,SBT-3-15-40
140,3,15,41,SBT-03-15-41,SBT-03-15-46,0,ARU,12,451954.0948,6096739.329,594.898,618.0849,calculated 3D shift manually,SBT-3-15-41
141,3,15,42,SBT-03-15-42,SBT-03-15-47,0,ARU,12,451992.659,6096735.78,599.536,622.7226,calculated 3D shift manually,SBT-3-15-42
142,3,15,43,SBT-03-15-43,SBT-03-15-48,0,ARU,12,452020.2147,6096736.409,600.995,624.1821,calculated 3D shift manually,SBT-3-15-43
143,3,15,44,SBT-03-15-44,SBT-03-15-49,0,ARU,12,452057.7905,6096742.854,601.05,624.2365,calculated 3D shift manually,SBT-3-15-44
144,3,15,45,SBT-03-15-45,SBT-03-15-50,0,ARU,12,452098.1382,6096739.322,596.72,619.9073,calculated 3D shift manually,SBT-3-15-45
145,3,15,46,SBT-03-15-46,SBT-03-15-41,1,EXTMIC,12,451957.6038,6096701.64,596.737,619.9242,calculated 3D shift manually,SBT-3-15-46
146,3,15,47,SBT-03-15-47,SBT-03-15-42,1,EXTMIC,12,451988.0249,6096696.038,594.261,617.4475,calculated 3D shift manually,SBT-3-15-47
147,3,15,48,SBT-03-15-48,SBT-03-15-43,1,EXTMIC,12,452022.3619,6096704.546,599.23,622.4167,calculated 3D shift manually,SBT-3-15-48
148,3,15,49,SBT-03-15-49,SBT-03-15-44,1,EXTMIC,12,452059.9002,6096710.753,602.588,625.7754,calculated 3D shift manually,SBT-3-15-49
149,3,15,50,SBT-03-15-50,SBT-03-15-45,1,EXTMIC,12,452093.6072,6096707.746,599.745,622.9323,calculated 3D shift manually,SBT-3-15-50
