,Cluster,SITE,STATION,PREFIX,PAIRED,CHANNEL,TYPE,UTM_ZONE,EASTING,NORTHING,Ellipsoidal_Ht,Ortho_Ht,NOTES,array_folder_name,point_folder_name
0,3,7,1,SBT-03-07-01,SBT-03-07-06,0,ARU,12,454901.8146,6080451.741,630.8394,654.0784,,SBT-3-7,SBT-3-7-1
1,3,7,2,SBT-03-07-02,SBT-03-07-07,0,ARU,12,454938.2138,6080450.422,637.7023,660.9413,,SBT-3-7,SBT-3-7-2
2,3,7,3,SBT-03-07-03,SBT-03-07-08,0,ARU,12,454972.0517,6080451.849,627.489,650.728,,SBT-3-7,SBT-3-7-3
3,3,7,4,SBT-03-07-04,SBT-03-07-09,0,ARU,12,455002.2424,6080447.022,630.8386,654.0776,,SBT-3-7,SBT-3-7-4
4,3,7,5,SBT-03-07-05,SBT-03-07-10,0,ARU,12,455040.577,6080456.902,638.6132,661.8522,,SBT-3-7,SBT-3-7-5
5,3,7,6,SBT-03-07-06,SBT-03-07-01,1,EXTMIC,12,454905.359,6080413.104,624.0343,647.2733,,SBT-3-7,SBT-3-7-6
6,3,7,7,SBT-03-07-07,SBT-03-07-02,1,EXTMIC,12,454937.2369,6080420.122,634.0494,657.2884,,SBT-3-7,SBT-3-7-7
7,3,7,8,SBT-03-07-08,SBT-03-07-03,1,EXTMIC,12,454974.7873,6080417.285,631.4345,654.6735,,SBT-3-7,SBT-3-7-8
8,3,7,9,SBT-03-07-09,SBT-03-07-04,1,EXTMIC,12,455007.368,6080417.427,633.1609,656.3999,,SBT-3-7,SBT-3-7-9
9,3,7,10,SBT-03-07-10,SBT-03-07-05,1,EXTMIC,12,455037.1044,6080422.566,627.9305,651.1695,,SBT-3-7,SBT-3-7-10
10,3,7,11,SBT-03-07-11,SBT-03-07-16,0,ARU,12,454898.7381,6080390.006,629.3989,652.6379,,SBT-3-7,SBT-3-7-11
11,3,7,12,SBT-03-07-12,SBT-03-07-17,0,ARU,12,454933.4345,6080381.205,629.1482,652.3872,,SBT-3-7,SBT-3-7-12
12,3,7,13,SBT-03-07-13,SBT-03-07-18,0,ARU,12,454971.7359,6080378.249,633.5012,656.7402,,SBT-3-7,SBT-3-7-13
13,3,7,14,SBT-03-07-14,SBT-03-07-19,0,ARU,12,455006.7064,6080386.725,638.5816,661.8206,,SBT-3-7,SBT-3-7-14
14,3,7,15,SBT-03-07-15,SBT-03-07-20,0,ARU,12,455043.0702,6080380.894,644.2802,667.5192,,SBT-3-7,SBT-3-7-15
15,3,7,16,SBT-03-07-16,SBT-03-07-11,1,EXTMIC,12,454905.382,6080349.704,629.0849,652.3239,,SBT-3-7,SBT-3-7-16
16,3,7,17,SBT-03-07-17,SBT-03-07-12,1,EXTMIC,12,454931.136,6080345.284,627.4791,650.7181,,SBT-3-7,SBT-3-7-17
17,3,7,18,SBT-03-07-18,SBT-03-07-13,1,EXTMIC,12,454974.0135,6080350.639,629.2922,652.5312,,SBT-3-7,SBT-3-7-18
18,3,7,19,SBT-03-07-19,SBT-03-07-14,1,EXTMIC,12,455003.2251,6080342.379,625.088,648.327,,SBT-3-7,SBT-3-7-19
19,3,7,20,SBT-03-07-20,SBT-03-07-15,1,EXTMIC,12,455040.1717,6080350.743,624.5274,647.7664,,SBT-3-7,SBT-3-7-20
20,3,7,21,SBT-03-07-21,SBT-03-07-22,0,ARU,12,454896.0362,6080311.947,625.2934,648.5324,,SBT-3-7,SBT-3-7-21
21,3,7,22,SBT-03-07-22,SBT-03-07-21,1,EXTMIC,12,454933.8436,6080311.789,631.2318,654.4708,,SBT-3-7,SBT-3-7-22
22,3,7,23,SBT-03-07-23,SBT-03-07-24,0,ARU,12,454969.6031,6080312.622,619.3571,642.5961,,SBT-3-7,SBT-3-7-23
